id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
10915,Botero Legacy,['David Bertok'],spotify:track:17tIkg2S2SW7n9GkGq9cgG,12,album,True,2019-04-19,['spotify:artist:4pUdozZloGXueDV9VWkbwT'],['spotify:playlist:5fUCLyy4z8Jh9Rgso1W56T']
134652,Game of Thrones Main Title (but it's lofi),['Je Suis Parte'],spotify:track:6W7JI2et0ZHQBLJBd9UxXB,22,single,True,2021-11-17,['spotify:artist:0CAXDOuageq5zwYSpTqe63'],['spotify:playlist:1IEz3KSYPmUGUA3xRTlpcO']
16369,孤独の発明,['toe'],spotify:track:2RJuCZXtZYubzTW78kmaBx,48,album,True,2012-06-20,['spotify:artist:0rpKM0MniNkXM1SLSglYUZ'],"['spotify:playlist:4ozhmLsnfVK1FzSZe80Oyt', 'spotify:playlist:7nUmRKsdmQdCGogRF5TuPa']"
273048,Eniko,['Arp'],spotify:track:0tadxxfd9sJktlZ1p23zTR,4,single,True,2022-06-01,['spotify:artist:3nmCWNVgTseDuX2OyUeTsX'],['spotify:playlist:6KmGkyCWJ4nTUSE0Tb0UMi']
270927,Haunted,['Zimm'],spotify:track:6ph1Q5pONWARCiSX8Ua6JE,47,single,True,2017-09-03,['spotify:artist:3LxxdwGQuhVoFJPVEKX0Pk'],['spotify:playlist:7dcOR6JelSbRBIPBie2ZQU']
243494,Classy Lady - Remastered Version,['Leroy Hutson'],spotify:track:2wSwWfqpMBkHBOkb6cCB7o,31,album,True,1982,['spotify:artist:5YJjMGHVQj1IHBabXX8lH6'],['spotify:playlist:37i9dQZF1DXbS8bPVXXR2B']
21911,The Wave,['Colouring'],spotify:track:2IbQBVzWkT4CF9aEUWek2o,49,single,True,2017-08-25,['spotify:artist:0p4HbDx1JTF3QLaBznAOrU'],['spotify:playlist:4VF0cyzu4Izr1NUGQzwbdQ']
131634,Twilight and Shadow (feat. Renee Fleming),['Halsey'],spotify:track:1eWsXHpKj3BhE9Uw9Q5XKI,49,compilation,True,2003-11-24,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:0VHnBEX0owG5CRqsqSS3xY']
74591,Ride the Fire!,['Bob Dylan'],spotify:track:5LOsGqxUaKDwgImAKp2oha,42,compilation,True,2015-03-27,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:0YJUoQG29FhKcGTBVISshi']
70866,Astronomia - Never Go Home,['Tony Igy'],spotify:track:5WYB4aZkflwjAApBoDCYkz,62,single,True,2020-10-09,['spotify:artist:2jpQ0ywffgVHhZFQNWaWYW'],"['spotify:playlist:10Tjj2w3jYaLzyOVNdR5V3', 'spotify:playlist:2ZnkMZN1QKQTKisqCuh8n8', 'spotify:playlist:3jYKbrpLA5IvDbDK2ScBXN', 'spotify:playlist:0iVROHKU9CTRMms9aW4WJv', 'spotify:playlist:51xwK1nKe4Ir57S925OGVE', 'spotify:playlist:3RxJQGGhaS71GGUNuYEQns']"
48851,We're Gonna Groove - Remaster,['Led Zeppelin'],spotify:track:50B4cVWKkqpSTxWG9xhMXo,31,album,True,1982-11-19,['spotify:artist:36QJpDe2go2KgaRleHCDTp'],['spotify:playlist:1y87FOiwW9RFoYWx6SHFE3']
94990,My Friends Never Die,['ODESZA'],spotify:track:2eMh8ISgK9dylE51SJUixA,49,single,True,2013-09-17,['spotify:artist:21mKp7DqtSNHhCAU2ugvUw'],"['spotify:playlist:2yC661FtT1NcFEKkk19XXK', 'spotify:playlist:5JJZvA3VR9RZ5XIr0reWiM']"
152005,The Hustle,['Swingrowers'],spotify:track:06sImcalauWP5m1XIWTLTI,48,compilation,True,2001-01-01,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],"['spotify:playlist:7ExDLO2srrOwpzpVMr9xMi', 'spotify:playlist:0P01shoxOFSPhU9eHxT12P']"
23609,You Are All I Need,['Jean Carn'],spotify:track:1WXXqkpl3PsMpYangWfhR1,7,album,True,1977,['spotify:artist:5swBKHtsRDaCBmdpYRYOg1'],['spotify:playlist:598ayCoa7vl8fIOOdTftxk']
242860,Pressure,['Hablot Brown'],spotify:track:4hGgCTqSVpn7ByHYvx3zFH,34,single,True,2018-07-29,['spotify:artist:6LtgEnShwvrqAaKohg7skM'],['spotify:playlist:6iW3c77MkGDhhT3vnJoeNh']
12711,Let's Not,['Danny Ryan Jazz Band'],spotify:track:4LJfsJaMLMWNpysdH5K5oS,52,single,True,2022-06-05,['spotify:artist:3xs6vmsEWnke7fTjjn0n3j'],['spotify:playlist:37i9dQZF1DX0ZgPbUQ205W']
265387,Foreign Ties,['Certainly So'],spotify:track:5skfGIQ0phcP4KAiNWpRBA,0,single,True,2021-02-05,['spotify:artist:0VmYiMeoVRP5bSkfBs0PSR'],['spotify:playlist:3i85OZp17tSPHmvk1W8RSi']
121877,Let It Go (Instrumental Version),['Steven C'],spotify:track:76Mqxefeb1rfjshBAsWarB,0,album,True,2015-01-20,['spotify:artist:7MGlZPaZPKJJFUbp8wToNb'],['spotify:playlist:47hR2Pysexuszklh7YmhP6']
249418,Only Man,['Buju Banton'],spotify:track:6EwlqKN5uVygjn4OAYgMcK,0,album,True,1995,['spotify:artist:4wLAjfeqAsV66AocWNcowA'],['spotify:playlist:0TWJt0MM2lna7VF7Odf4id']
207770,Rust And Gold,['Peter Pritchard'],spotify:track:3GfSSiY6GmnZNN6sx06sVh,35,album,True,1995-09-18,['spotify:artist:3SdpLCgg31dneVRyJoTKHb'],['spotify:playlist:37i9dQZF1DXdPDLmy88MDk']
212623,I Need You (US Radio Mix),['B.V.S.M.P.'],spotify:track:28Yn8k8xzTJASB0sEvxTLe,0,compilation,True,2005-04-25,['spotify:artist:5bA1TGkZ4mXFNfP0BxAsIH'],['spotify:playlist:17lepfyJuUCI1KxaRgTV5E']
