id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
14888,Snowman,['Dirty Shirt'],spotify:track:5ehVOwEZ1Q7Ckkdtq0dY1W,13,compilation,True,2019-12-08,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],"['spotify:playlist:2l3nV23jvCi5WF5XshMxXg', 'spotify:playlist:6QAVsGp118XZLQrBe38r5O', 'spotify:playlist:7aPzTkd3E79wtkKgzk7AOm', 'spotify:playlist:5OP7itTh52BMfZS1DJrdlv', 'spotify:playlist:4ApCjx4vFcK2REUWNJF5Ov']"
260965,Bad Tattoo,['The Gritty End'],spotify:track:6SFf16fRtagDkqhYBnEKuJ,0,album,True,2016-07-06,['spotify:artist:5Gy8R0JZbpohpkugKjYyKL'],['spotify:playlist:51dZ14YKJhHKpVnL3MXj7G']
154202,Club Bizzare - Nightcore Nation Remix,"['DJ Satomi', 'KLIO', 'Nightcore Nation']",spotify:track:6VU6qv1AdbVvqS8edxLBVl,16,single,True,2021-12-10,"['spotify:artist:7MlcYSTwlLeOtBMDJ6WOv5', 'spotify:artist:7IGMJ3A8I6Sa2GlJ8qprcz', 'spotify:artist:53v1ftxe2rTpIm8bluID7J']","['spotify:playlist:1dDOpPDiRQsL8aK4k7jbJt', 'spotify:playlist:0JHgqiRSghI1HZE27Mhz7H']"
251967,Wish,['Alien Ant Farm'],spotify:track:3z3bcIS2CBJ5pqWQjKPiIo,51,album,True,2001-01-01,['spotify:artist:6TZdvF1kFzwnQLgHQynzsO'],['spotify:playlist:37i9dQZF1DX7756owhgHZ1']
70298,leading me on but i'm not mad about it,['remy'],spotify:track:1DSP945TwqdRaTciHHTVq1,0,single,True,2020-05-29,['spotify:artist:4DsVKs4W72RTKOfD3CtTaw'],['spotify:playlist:0Ixydvm62ehIgyJ2Are5Fl']
33911,HANN (Alone in winter),['(G)I-DLE'],spotify:track:2qYdsdgdeMLFzpLcMQWG2W,47,single,True,2021-01-11,['spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'],['spotify:playlist:6001OyC74LcMW7OjkyI2L5']
124142,Whistling,['Peppa Pig Stories'],spotify:track:3eTV8uv5sxrFvpGMDEwKpb,38,album,True,2021-01-04,['spotify:artist:7paD0Gb7ds5SE45UyOhGr8'],"['spotify:playlist:17oJhzDavmSktI613NCukg', 'spotify:playlist:37i9dQZF1DZ06evO4nOl1e']"
161001,Sunburn - Instrumental Mix,['Armin van Buuren'],spotify:track:74lIuw3G8wIOXTzAETH0WZ,3,single,True,2003-04-01,['spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5'],['spotify:playlist:5qzG29K5RdtdFpvvpsMuY6']
43712,Hanoï café,['Bleu Toucan'],spotify:track:2I4AhSWdVku2SQsJXiIci6,58,single,True,2016-06-03,['spotify:artist:3lv9GfkVw9I9X4Rgtf2o4r'],"['spotify:playlist:1YudLkh2mZw4EIui7BZBJf', 'spotify:playlist:2hLBBjcm2rjgQ7U14I8gIG', 'spotify:playlist:2jnMqsODfTaiUN9PmZYEkt']"
195447,Into You,['Amy Jaime'],spotify:track:04OMoWfEwfTTjkjkj8mnbQ,19,single,True,2023-02-17,['spotify:artist:0ZmSTAHS6uMkQ2vQYfXRU5'],['spotify:playlist:711LguFrDBIEksNrJhBsNW']
